original_id,artists,track name,emotion_type,emotion_score,culture
112440,Can Bonomo,Bardak Taşıyor,SADNESS,0.9959806203842163,Turkish
112441,Hidra,Kudurtan Şehir,SADNESS,0.8007311820983887,Turkish
112442,Kargo,Mazi Kalbimde Bir Yaradır,SADNESS,0.9964060187339783,Turkish
112445,Melike Şahin,Serim & Hepsi Geçti (Live at Bostancı Gösteri Merkezi),SADNESS,0.9977444410324097,Turkish
112446,Ceg,Anormal,ANGER,0.9977825284004211,Turkish
112447,Nazan Öncel,Erkekler de yanar,ANGER,0.9877228736877441,Turkish
112450,Gülşen,Nazar Değmesin,JOY,0.6076030135154724,Turkish
112451,EDIS,Martılar,JOY,0.880380392074585,Turkish
112455,Tanju Okan,Dostlarım,SADNESS,0.9104449152946472,Turkish
112458,Old G,Yaktım,JOY,0.9345483779907227,Turkish
112459,İmpala & Rebossa,LANETİM OL,JOY,0.9032090306282043,Turkish
112460,MFÖ (TUR),Bu Sabah Yağmur Var İstanbul’da,JOY,0.9173067808151245,Turkish
112462,Resit Kemal,İhanetini Doldurdum,ANGER,0.7071847915649414,Turkish
112463,Yaşlı Amca,Kimsesiz,ANGER,0.5371289253234863,Turkish
112464,Gülşen,Gözü Karalım,JOY,0.44805148243904114,Turkish
112466,Emir Can İğrek,Kır Düğünü,JOY,0.5302924513816833,Turkish
112471,Aspova,Öpünce geçer mi,SADNESS,0.9966391324996948,Turkish
112472,Hayki,Hangisi Doğru,ANGER,0.9869303703308105,Turkish
112475,Teoman,Sus Konuşma,SADNESS,0.9986159801483154,Turkish
112476,Levent Yüksel,Bi’ Daha (Kıvanç Kutlumuş Vers. 1 Remix),ANGER,0.40663960576057434,Turkish
112480,Arda Gezer,Nefret,JOY,0.9867498278617859,Turkish
112481,Nazan Öncel,Beyoğlu,JOY,0.627775251865387,Turkish
112485,Anıl Piyancı,Fiyasko,JOY,0.8514443635940552,Turkish
112486,Revart,nereye giderdim,JOY,0.9958174824714661,Turkish
112488,No.1,Harikalar Diyarında,JOY,0.9932460188865662,Turkish
112489,Leman Sam,İlla,LOVE,0.8777422308921814,Turkish
112490,No.1,Beklerken Durakta,SADNESS,0.5749845504760742,Turkish
112491,Ceg,Uyuşana Dek,SADNESS,0.9979471564292908,Turkish
112493,Eskitilmiş Yaz,Korkuyu Al İçimden,SADNESS,0.7497220635414124,Turkish
112494,Sezen Aksu,Değer mi,JOY,0.7479651570320129,Turkish
112496,Şebnem Ferah,Okyanus,JOY,0.9957577586174011,Turkish
112498,Teoman,Zamparanın Ölümü (İkinci Ve Son Bölüm),SADNESS,0.4775673449039459,Turkish
112499,Genius,May 2020 Album Release Calendar,JOY,0.8763564229011536,Turkish
112500,Tarkan,Şımarık,SADNESS,0.95185387134552,Turkish
112501,Feride Hilal Akın,Gizli Aşk,FEAR,0.9429864883422852,Turkish
112504,Kibariye,İlle de Roman Olsun,JOY,0.7206118106842041,Turkish
112506,Aşkın Nur Yengi,Karanfil,ANGER,0.9930799603462219,Turkish
112507,Yedinci Ev,Eylül,JOY,0.45520150661468506,Turkish
112508,Pinhani,Dur Söyleme,SADNESS,0.7562075257301331,Turkish
112509,RamoBeroo,sarkı,ANGER,0.5792521238327026,Turkish
112510,Emir Can İğrek,Güya,SADNESS,0.981767475605011,Turkish
112513,Kargo,Kehribar,ANGER,0.7422356009483337,Turkish
112516,Vice (TUR),Yalanlar ve Gerçekler,ANGER,0.9961541295051575,Turkish
112517,Kenan Doğulu,Sımsıkı Sıkı Sıkı,SADNESS,0.7304676175117493,Turkish
112518,Kıraç,Olur Ya,JOY,0.9915015697479248,Turkish
112519,Ayşe özyılmazel,Sabıkalı,ANGER,0.9945003986358643,Turkish
112520,Teoman,Terlemeden Sevişenler,JOY,0.5770049095153809,Turkish
112522,Ersay Üner,Nokta,FEAR,0.993579626083374,Turkish
112523,Saian,Kanunsuzlar,JOY,0.6155855059623718,Turkish
112524,Rota,İrem,JOY,0.4874641001224518,Turkish
112525,Barış Akarsu,İsterdim,LOVE,0.6614821553230286,Turkish
112526,Genius Türkçe Çeviriler,Don Omar & Tego Calderón - Bandoleros (Türkçe Çeviri),ANGER,0.7657738327980042,Turkish
112527,Sokrat St,Korkularıma Dair,ANGER,0.974371612071991,Turkish
112531,Şanışer,Anlat Bana,JOY,0.7062696218490601,Turkish
112532,Nasıl Derler Bilirsin,Tertemiz Delirdim,JOY,0.9980373978614807,Turkish
112534,Brandy,"Top of the World, Pt. II (No Rap Version)",JOY,0.8131014108657837,Turkish
112535,Manuş Baba,Bir Acı Türkü,ANGER,0.9848198890686035,Turkish
112537,Contra,YERDEN YÜKSEK 2,ANGER,0.9569356441497803,Turkish
112538,Ahmet Kaya,Beni Tarihle Yargıla,LOVE,0.993547260761261,Turkish
112539,Gece,Gamsiz,ANGER,0.8151419758796692,Turkish
112541,Grogi,Bu Gece Bizim,SADNESS,0.9958653450012207,Turkish
112542,Malt,Gol,ANGER,0.9658022522926331,Turkish
112544,Saian,Feleğin Çemberine 40 Kurşun,ANGER,0.9689176678657532,Turkish
112545,Müzeyyen Senar,Benzemez Kimse Sana,SADNESS,0.9967716336250305,Turkish
112547,Düşüngeç,Sor Sakalım,ANGER,0.9912876486778259,Turkish
112548,Emel Sayın,Rüyalar Gerçek Olsa,LOVE,0.8950154185295105,Turkish
112549,Sayha Mira,"Sazım, Sözüm",JOY,0.994785726070404,Turkish
112552,Aspova,Benmişim,SADNESS,0.5260562896728516,Turkish
112557,Şanışer,Kış Yağmuru,SADNESS,0.9967638254165649,Turkish
112559,Barış Akarsu,Mavi,LOVE,0.964584231376648,Turkish
112562,Khontkar,Hiçbir Şeyim Yok,SADNESS,0.5245296955108643,Turkish
112563,Spade427,Bakınca Gökyüzüne,JOY,0.88746577501297,Turkish
112564,ONAL,ÇAT ÇAT ÇAT ES,SADNESS,0.6987800002098083,Turkish
112566,Şanışer,Bu Sabah,LOVE,0.9886112809181213,Turkish
112567,Duman,Haberin Yok Ölüyorum,LOVE,0.987413763999939,Turkish
112570,Can Gox,Drama Köprüsü,ANGER,0.9933671355247498,Turkish
112571,Ravend,Rahatımı Bozamam,SADNESS,0.9986843466758728,Turkish
112572,Umut Kaya,Canım Çok Yanıyor,SADNESS,0.9457367062568665,Turkish
112573,Tan Taşçı,Ona Söyle (Live),LOVE,0.9353079795837402,Turkish
112576,Duman,Saldır,ANGER,0.7123985886573792,Turkish
112577,Redd,Bugün Herkes Ölsün İstedim,SADNESS,0.617626428604126,Turkish
112580,Şebnem Ferah,Fırtına,JOY,0.9468061923980713,Turkish
112581,Mustafa Sandal,İki Tas Çorba,LOVE,0.9890015125274658,Turkish
112583,Barış Manço,Ömrümün Sonbaharında,SADNESS,0.9969958066940308,Turkish
112586,Ümit Besen,Alışmak Sevmekten Zor,LOVE,0.7281206846237183,Turkish
112587,Barış Kocatürk,Vurdum Kendimi Yola,SADNESS,0.9948740601539612,Turkish
112588,Şebnem Ferah,Sana Bilmediğin Bir Şey Söyleyemem,JOY,0.9237059354782104,Turkish
112591,Tan Taşçı,Bilir Mi (Live),ANGER,0.996728777885437,Turkish
